ATP1B3 RNF7 TFDP2 PXYLP1 RASA2 RP11.340E.6 Phenotype
7.53204963059476 7.37529123686471 3.83739523982345 1.33545919455493 2.52442107916214 0.170582428216408 editted
7.36011380309938 7.41610884616092 3.98670346614882 1.20341663365632 1.93651684350793 0.367286859679638 editted
7.49853217259764 7.29128814806037 3.39041767430179 1.5240770765547 2.10824239924403 0 wild_type
7.6925889064433 7.64730774281687 3.50800780496967 0.88778879783677 1.92150597052192 0.482958183638682 editted
7.36024704348124 7.26585913547471 3.33291056280643 1.16431550915433 2.39233606116548 0.804904387020658 wild_type
7.18277610803703 7.67488777261184 3.15457708494155 1.22779713164536 1.60857035044024 0.748054988458985 wild_type
7.53926284439671 7.35748152361618 3.92358486146067 1.47133183995194 2.37858620439986 0.298232409343616 editted
7.54918765187495 7.49355010488885 3.47345350026883 0.913398261361057 1.88465824379132 0.188067384195888 editted
7.60601917141796 7.66132716500784 2.39937281518608 1.754993596471 2.11085681931233 0.149664535726188 wild_type
7.6145304063582 7.30726335300539 3.39287687393321 1.72278613571399 1.90932340542798 0.304085265687411 editted
7.44519031759254 7.34908960522728 3.11108661065354 1.76516219696224 2.27438772526834 0.320018328722084 editted
7.2796402386561 7.41236561897855 2.77465889639119 1.27609497979003 2.10430082376552 0.297535059249542 editted
7.55712973196568 7.37011383605793 3.02250556222904 1.09741570207342 2.20704168963417 0.180136622406054 wild_type
7.21908490874128 7.245776811041 4.00954098737499 1.67245741618764 2.52417096975956 0.180464721903782 editted
7.63997541102092 7.65429892281852 2.35140495100814 1.39327476322991 1.83079099311366 0.132488564392782 editted
7.36081709523398 7.35937068566951 3.65566507205056 2.00605326901403 2.35033870760907 0.232019913001793 wild_type
7.16009142909645 7.58086871739309 3.69635349737492 1.25320094067884 2.25308621296369 0.478832572716923 editted
7.31089932128804 7.34087475919534 3.39863296470566 0.594520011756381 1.79645978982562 0.461720339559388 wild_type
7.25330268281553 7.32681688864547 3.30981247070399 1.08811544061159 2.00574068174632 0.266752769793324 editted
7.54733019387353 7.28993814147872 3.93391534707176 1.25508726301954 2.01959995363733 0.806311645544204 editted
6.95144427403848 7.44244578209743 3.75502850490417 1.21349454088323 2.49772976168042 0.319626265682933 editted
7.39142935537349 7.45666885626266 3.95013213853486 1.27520188206079 1.95017589776098 0.300054458201436 wild_type
7.27138781860322 7.35339585904319 2.83507679208405 1.32531365285674 1.76087785614917 0.46165264386841 editted
